 # Source Time function
 # source type CMT
 # scaling scalar moment (M0) =    2.26056663E+25
 # format: #time(s)   #stf   #scalar_moment
  -4.5000000000000000        2.76671373E-04   2.26056663E+25
  -4.4154715651656620        3.51202791E-04   2.26056663E+25
  -4.3309431303313239        4.44051169E-04   2.26056663E+25
  -4.2464146954969868        5.59232605E-04   2.26056663E+25
  -4.1618862606626488        7.01519137E-04   2.26056663E+25
  -4.0773578258283107        8.76551319E-04   2.26056663E+25
  -3.9928293909939732        1.09096139E-03   2.26056663E+25
  -3.9083009561596356        1.35250576E-03   2.26056663E+25
  -3.8237725213252975        1.67020678E-03   2.26056663E+25
  -3.7392440864909595        2.05450179E-03   2.26056663E+25
  -3.6547156516566219        2.51739868E-03   2.26056663E+25
  -3.5701872168222843        3.07263318E-03   2.26056663E+25
  -3.4856587819879463        3.73582914E-03   2.26056663E+25
  -3.4011303471536083        4.52465331E-03   2.26056663E+25
  -3.3166019123192707        5.45896403E-03   2.26056663E+25
  -3.2320734774849331        6.56094961E-03   2.26056663E+25
  -3.1475450426505951        7.85524491E-03   2.26056663E+25
  -3.0630166078162571        9.36902780E-03   2.26056663E+25
  -2.9784881729819195        1.11320885E-02   2.26056663E+25
  -2.8939597381475819        1.31768538E-02   2.26056663E+25
  -2.8094313033132439        1.55383823E-02   2.26056663E+25
  -2.7249028684789058        1.82542931E-02   2.26056663E+25
  -2.6403744336445683        2.13646553E-02   2.26056663E+25
  -2.5558459988102307        2.49118060E-02   2.26056663E+25
  -2.4713175639758926        2.89401002E-02   2.26056663E+25
  -2.3867891291415546        3.34955975E-02   2.26056663E+25
  -2.3022606943072170        3.86256687E-02   2.26056663E+25
  -2.2177322594728794        4.43785265E-02   2.26056663E+25
  -2.1332038246385414        5.08027077E-02   2.26056663E+25
  -2.0486753898042034        5.79464212E-02   2.26056663E+25
  -1.9641469549698658        6.58569187E-02   2.26056663E+25
  -1.8796185201355282        7.45797306E-02   2.26056663E+25
  -1.7950900853011902        8.41578916E-02   2.26056663E+25
  -1.7105616504668522        9.46311355E-02   2.26056663E+25
  -1.6260332156325146       0.106035016       2.26056663E+25
  -1.5415047807981770       0.118400104       2.26056663E+25
  -1.4569763459638390       0.131751150       2.26056663E+25
  -1.3724479111295009       0.146106243       2.26056663E+25
  -1.2879194762951633       0.161476105       2.26056663E+25
  -1.2033910414608258       0.177863374       2.26056663E+25
  -1.1188626066264877       0.195262060       2.26056663E+25
  -1.0343341717921497       0.213657036       2.26056663E+25
 -0.94980573695781212       0.233023733       2.26056663E+25
 -0.86527730212347453       0.253327847       2.26056663E+25
 -0.78074886728913651       0.274525404       2.26056663E+25
 -0.69622043245479848       0.296562850       2.26056663E+25
 -0.61169199762046089       0.319377244       2.26056663E+25
 -0.52716356278612331       0.342896849       2.26056663E+25
 -0.44263512795178528       0.367041677       2.26056663E+25
 -0.35810669311744725       0.391724288       2.26056663E+25
 -0.27357825828310922       0.416850746       2.26056663E+25
 -0.18904982344877208       0.442321628       2.26056663E+25
 -0.10452138861443405       0.468033284       2.26056663E+25
  -1.9992953780096023E-002  0.493879050       2.26056663E+25
   6.4535481054241117E-002  0.519750535       2.26056663E+25
  0.14906391588857915       0.545539081       2.26056663E+25
  0.23359235072291717       0.571137011       2.26056663E+25
  0.31812078555725520       0.596439064       2.26056663E+25
  0.40264922039159323       0.621343732       2.26056663E+25
  0.48717765522593037       0.645754278       2.26056663E+25
  0.57170609006026840       0.669580042       2.26056663E+25
  0.65623452489460643       0.692737520       2.26056663E+25
  0.74076295972894357       0.715150893       2.26056663E+25
  0.82529139456328160       0.736752987       2.26056663E+25
  0.90981982939761963       0.757485867       2.26056663E+25
  0.99434826423195766       0.777300835       2.26056663E+25
   1.0788766990662957       0.796159148       2.26056663E+25
   1.1634051339006328       0.814031601       2.26056663E+25
   1.2479335687349709       0.830898583       2.26056663E+25
   1.3324620035693089       0.846749902       2.26056663E+25
   1.4169904384036460       0.861584187       2.26056663E+25
   1.5015188732379841       0.875408411       2.26056663E+25
   1.5860473080723221       0.888237178       2.26056663E+25
   1.6705757429066601       0.900092304       2.26056663E+25
   1.7551041777409981       0.911001623       2.26056663E+25
   1.8396326125753353       0.920998454       2.26056663E+25
   1.9241610474096733       0.930120707       2.26056663E+25
   2.0086894822440113       0.938409925       2.26056663E+25
   2.0932179170783485       0.945910573       2.26056663E+25
   2.1777463519126865       0.952669144       2.26056663E+25
   2.2622747867470245       0.958733559       2.26056663E+25
   2.3468032215813626       0.964152217       2.26056663E+25
   2.4313316564157006       0.968973517       2.26056663E+25
   2.5158600912500377       0.973245382       2.26056663E+25
   2.6003885260843758       0.977014482       2.26056663E+25
   2.6849169609187138       0.980326056       2.26056663E+25
   2.7694453957530509       0.983223438       2.26056663E+25
   2.8539738305873890       0.985747755       2.26056663E+25
   2.9385022654217270       0.987937808       2.26056663E+25
   3.0230307002560650       0.989829957       2.26056663E+25
   3.1075591350904030       0.991457760       2.26056663E+25
   3.1920875699247402       0.992852330       2.26056663E+25
   3.2766160047590782       0.994042099       2.26056663E+25
   3.3611444395934162       0.995052814       2.26056663E+25
   3.4456728744277534       0.995907843       2.26056663E+25
   3.5302013092620914       0.996628106       2.26056663E+25
   3.6147297440964294       0.997232378       2.26056663E+25
   3.6992581789307675       0.997737110       2.26056663E+25
   3.7837866137651055       0.998157024       2.26056663E+25
   3.8683150485994435       0.998504817       2.26056663E+25
   3.9528434834337816       0.998791695       2.26056663E+25
   4.0373719182681178       0.999027371       2.26056663E+25
   4.1219003531024558       0.999220133       2.26056663E+25
   4.2064287879367939       0.999377131       2.26056663E+25
   4.2909572227711319       0.999504507       2.26056663E+25
   4.3754856576054699       0.999607384       2.26056663E+25
   4.4600140924398080       0.999690115       2.26056663E+25
   4.5445425272741460       0.999756396       2.26056663E+25
   4.6290709621084822       0.999809265       2.26056663E+25
   4.7135993969428203       0.999851227       2.26056663E+25
   4.7981278317771583       0.999884427       2.26056663E+25
   4.8826562666114963       0.999910593       2.26056663E+25
   4.9671847014458343       0.999931097       2.26056663E+25
   5.0517131362801724       0.999947131       2.26056663E+25
   5.1362415711145104       0.999959588       2.26056663E+25
   5.2207700059488484       0.999969184       2.26056663E+25
   5.3052984407831865       0.999976635       2.26056663E+25
   5.3898268756175227       0.999982357       2.26056663E+25
   5.4743553104518607       0.999986708       2.26056663E+25
   5.5588837452861988       0.999990046       2.26056663E+25
   5.6434121801205368       0.999992549       2.26056663E+25
   5.7279406149548748       0.999994457       2.26056663E+25
   5.8124690497892129       0.999995887       2.26056663E+25
   5.8969974846235509       0.999996960       2.26056663E+25
   5.9815259194578871       0.999997795       2.26056663E+25
   6.0660543542922252       0.999998391       2.26056663E+25
   6.1505827891265632       0.999998808       2.26056663E+25
   6.2351112239609012       0.999999166       2.26056663E+25
